sector,subsector,segmento,short_name,ticker,seg_mercado,img_id
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,RBCAPITALRES,RBRA,MB             ,
Bens Industriais,Material de Transporte,Material Rodoviário,RECRUSUL    ,RCSL,,195.jpg
Consumo Cíclico,Construção Civil,Incorporações,RNI,RDNI,NM             ,240.jpg
Bens Industriais,Transporte,Exploração de Rodovias,ROD TIETE   ,RDVT,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,REDE ENERGIA,REDE,,477.jpg
Consumo Cíclico,Diversos,Aluguel de carros,LOCALIZA    ,RENT,NM             ,246.jpg
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,RAIZEN ENERG,RESA,,
Bens Industriais,Transporte,Transporte Ferroviário,COSAN LOG,RLOG,NM             ,204.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,RENOVA      ,RNEW,N2             ,478.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INDS ROMI   ,ROMI,NM             ,182.jpg
Financeiro,Intermediários Financeiros,Bancos,ALFA HOLDING,RPAD,,324.jpg
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PET MANGUINH,RPMG,,410.jpg
Bens Industriais,Transporte,Exploração de Rodovias,CONC RAPOSO ,RPTA,,
Consumo Cíclico,Construção Civil,Incorporações,ROSSI RESID ,RSID,NM             ,241.jpg
Bens Industriais,Material de Transporte,Material Rodoviário,RIOSULENSE  ,RSUL,,193.jpg
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,SALUS INFRA,SAIP,,
Financeiro,Intermediários Financeiros,Bancos,SANTANDER BR,SANB,,343.jpg
Utilidade Pública,Água e Saneamento,Água e Saneamento,SANEPAR     ,SAPR,N2             ,443.jpg
Utilidade Pública,Água e Saneamento,Água e Saneamento,SABESP      ,SBSP,NM             ,441.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,SAO CARLOS  ,SCAR,NM             ,314.jpg
Consumo Cíclico,Diversos,Serviços Educacionais,SER EDUCA,SEER,NM             ,254.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,SPRINGS     ,SGPS,NM             ,268.jpg
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,TIME FOR FUN,SHOW,NM             ,489.jpg
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",SCHULZ      ,SHUL,,188.jpg
Consumo não Cíclico,Agropecuária,Agricultura,SLC AGRICOLA,SLCE,NM             ,283.jpg
Outros,Outros,Outros,SELECTPART  ,SLCT,MB             ,
Consumo Cíclico,Comércio,Produtos Diversos,SARAIVA LIVR,SLED,N2             ,220.jpg
Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,SMART FIT,SMFT,M2,569.jpg
Consumo Cíclico,Diversos,Programas de Fidelização,SMILES,SMLS,NM             ,249.jpg
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,SAO MARTINHO,SMTO,NM             ,286.jpg
Utilidade Pública,Água e Saneamento,Água e Saneamento,SANESALTO   ,SNST,,
Materiais Básicos,Materiais Diversos,Materiais Diversos,SANSUY      ,SNSY,,380.jpg
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SONDOTECNICA,SOND,,165.jpg
Financeiro,Holdings Diversificadas,Holdings Diversificadas,SPRINGER    ,SPRI,,323.jpg
Outros,Outros,Outros,LONGDIS     ,SPRT,MB             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,SINQIA,SQIA,NM             ,434.jpg
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,SANTOS BRP  ,STBP,N2             ,200.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,STO ANTONIO,STEN,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,STATKRAFT,STKF,,570.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,STARA,STTR,MA,179.jpg
Materiais Básicos,Madeira e Papel,Papel e Celulose,SANTHER     ,STTZ,,
Financeiro,Previdência e Seguros,Seguradoras,SUL AMERICA ,SULA,N2             ,362.jpg
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO S.A.,SUZB,NM             ,378.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,TAESA       ,TAEE,N2             ,480.jpg
Bens Industriais,Máquinas e Equipamentos,Armas e Munições,TAURUS ARMAS,TASA,N2             ,177.jpg
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,TECNOSOLO   ,TCNO,,166.jpg
Consumo Cíclico,Construção Civil,Incorporações,TECNISA     ,TCSA,NM             ,242.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,TECHNOS     ,TECN,NM             ,260.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TEKA        ,TEKA,,269.jpg
Comunicações,Telecomunicações,Telecomunicações,TELEBRAS    ,TELB,,437.jpg
Consumo Cíclico,Construção Civil,Incorporações,TENDA,TEND,NM             ,228.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,TERM. PE III,TEPE,,
Consumo não Cíclico,Agropecuária,Agricultura,TERRA SANTA,TESA,NM             ,284.jpg
Bens Industriais,Transporte,Transporte Rodoviário,TEGMA       ,TGMA,NM             ,211.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,AES TIETE E,TIET,N2             ,444.jpg
Comunicações,Telecomunicações,Telecomunicações,TIM PART S/A,TIMP,NM             ,439.jpg
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,TEKNO       ,TKNO,,395.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,TERMOPE     ,TMPE,,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,TOTVS       ,TOTS,NM             ,435.jpg
Bens Industriais,Transporte,Exploração de Rodovias,TRIUNFO PART,TPIS,NM             ,
Bens Industriais,Transporte,Exploração de Rodovias,TRIANGULOSOL,TRIA,,
Consumo Cíclico,Construção Civil,Incorporações,TRISUL      ,TRIS,NM             ,243.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,TRAN PAULIST,TRPL,N1             ,465.jpg
Bens Industriais,Material de Transporte,Material Rodoviário,TUPY        ,TUPY,NM             ,196.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TEX RENAUX  ,TXRX,,270.jpg
Consumo Cíclico,Utilidades Domésticas,Móveis,UNICASA,UCAS,NM             ,272.jpg
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ULTRAPAR    ,UGPA,NM             ,411.jpg
Consumo Cíclico,Diversos,Aluguel de carros,UNIDAS      ,UNID,,
Materiais Básicos,Químicos,Químicos Diversos,UNIPAR      ,UNIP,,390.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,UPTICK      ,UPKP,MB             ,
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIMINAS    ,USIM,N1             ,400.jpg
Materiais Básicos,Mineração,Minerais Metálicos,VALE        ,VALE,NM             ,384.jpg
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,VERTCIASEC,VERT,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,VIVARA S.A.,VIVA,NM             ,520.jpg
Consumo Cíclico,Construção Civil,Incorporações,VIVER       ,VIVR,NM             ,244.jpg
Comunicações,Telecomunicações,Telecomunicações,TELEF BRASIL,VIVT,,438.jpg
Bens Industriais,Serviços Diversos,Serviços Diversos,VALID       ,VLID,NM             ,176.jpg
Bens Industriais,Transporte,Exploração de Rodovias,VIAOESTE    ,VOES,,
Bens Industriais,Transporte,Transporte Ferroviário,FER C ATLANT,VSPT,,205.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,VULCABRAS   ,VULC,NM             ,485.jpg
Consumo Cíclico,Comércio,Eletrodomésticos,VIAVAREJO,VVAR,NM             ,216.jpg
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",WEG         ,WEGE,NM             ,189.jpg
Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos,WHIRLPOOL   ,WHRL,,217.jpg
Financeiro,Previdência e Seguros,Corretoras de Seguros,WIZ S.A.,WIZS,NM             ,356.jpg
Bens Industriais,Comércio,Material de Transporte,WLM IND COM ,WLMM,,162.jpg
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,WILSON SONS ,WSON,DR3,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,WTORRE PIC  ,WTPI,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,BRPR 56 SEC,WTVR,,
Consumo Cíclico,Diversos,Serviços Educacionais,YDUQS PART,YDUQ,NM             ,252.jpg
